LSOA21CD,LSOA21NM,LSOA21NMW,WD25CD,WD25NM,WD25NMW,LAD25CD,LAD25NM,LAD25NMW,ObjectId
E01014432,Bath and North East Somerset 019B,,E05012479,Odd Down,,E06000022,Bath and North East Somerset,,2401
E01014431,Bath and North East Somerset 019A,,E05012479,Odd Down,,E06000022,Bath and North East Somerset,,2402
E01014434,Bath and North East Somerset 019D,,E05012479,Odd Down,,E06000022,Bath and North East Somerset,,2403
E01014436,Bath and North East Somerset 014B,,E05012480,Oldfield Park,,E06000022,Bath and North East Somerset,,2404
E01014484,Bath and North East Somerset 012F,,E05012480,Oldfield Park,,E06000022,Bath and North East Somerset,,2405
E01014440,Bath and North East Somerset 023D,,E05012481,Paulton,,E06000022,Bath and North East Somerset,,2406
E01014439,Bath and North East Somerset 023C,,E05012481,Paulton,,E06000022,Bath and North East Somerset,,2407
E01014441,Bath and North East Somerset 023E,,E05012481,Paulton,,E06000022,Bath and North East Somerset,,2408
E01014443,Bath and North East Somerset 022C,,E05012482,Peasedown,,E06000022,Bath and North East Somerset,,2409
E01014445,Bath and North East Somerset 022E,,E05012482,Peasedown,,E06000022,Bath and North East Somerset,,2410
E01014444,Bath and North East Somerset 022D,,E05012482,Peasedown,,E06000022,Bath and North East Somerset,,2411
E01014442,Bath and North East Somerset 022B,,E05012482,Peasedown,,E06000022,Bath and North East Somerset,,2412
E01014447,Bath and North East Somerset 020E,,E05012483,Publow & Whitchurch,,E06000022,Bath and North East Somerset,,2413
E01014446,Bath and North East Somerset 020D,,E05012483,Publow & Whitchurch,,E06000022,Bath and North East Somerset,,2414
E01014450,Bath and North East Somerset 024C,,E05012484,Radstock,,E06000022,Bath and North East Somerset,,2415
E01014449,Bath and North East Somerset 024B,,E05012484,Radstock,,E06000022,Bath and North East Somerset,,2416
E01014448,Bath and North East Somerset 024A,,E05012484,Radstock,,E06000022,Bath and North East Somerset,,2417
E01014451,Bath and North East Somerset 024D,,E05012484,Radstock,,E06000022,Bath and North East Somerset,,2418
E01035210,Bath and North East Somerset 022G,,E05012485,Saltford,,E06000022,Bath and North East Somerset,,2419
E01014453,Bath and North East Somerset 016D,,E05012485,Saltford,,E06000022,Bath and North East Somerset,,2420
E01014566,Bristol 029B,,E05010896,Easton,,E06000023,"Bristol, City of",,2421
E01014454,Bath and North East Somerset 016E,,E05012485,Saltford,,E06000022,Bath and North East Somerset,,2422
E01014452,Bath and North East Somerset 016C,,E05012485,Saltford,,E06000022,Bath and North East Somerset,,2423
E01014392,Bath and North East Somerset 016B,,E05012485,Saltford,,E06000022,Bath and North East Somerset,,2424
E01014456,Bath and North East Somerset 015B,,E05012486,Southdown,,E06000022,Bath and North East Somerset,,2425
E01014457,Bath and North East Somerset 015C,,E05012486,Southdown,,E06000022,Bath and North East Somerset,,2426
E01014455,Bath and North East Somerset 015A,,E05012486,Southdown,,E06000022,Bath and North East Somerset,,2427
E01014474,Bath and North East Somerset 013B,,E05012486,Southdown,,E06000022,Bath and North East Somerset,,2428
E01014476,Bath and North East Somerset 013D,,E05012486,Southdown,,E06000022,Bath and North East Somerset,,2429
E01014459,Bath and North East Somerset 016F,,E05012487,Timsbury,,E06000022,Bath and North East Somerset,,2430
E01014460,Bath and North East Somerset 016G,,E05012487,Timsbury,,E06000022,Bath and North East Somerset,,2431
E01014458,Bath and North East Somerset 015D,,E05012488,Twerton & Whiteway,,E06000022,Bath and North East Somerset,,2432
E01014464,Bath and North East Somerset 011D,,E05012488,Twerton & Whiteway,,E06000022,Bath and North East Somerset,,2433
E01014462,Bath and North East Somerset 011B,,E05012488,Twerton & Whiteway,,E06000022,Bath and North East Somerset,,2434
E01014461,Bath and North East Somerset 011A,,E05012488,Twerton & Whiteway,,E06000022,Bath and North East Somerset,,2435
E01014463,Bath and North East Somerset 011C,,E05012488,Twerton & Whiteway,,E06000022,Bath and North East Somerset,,2436
E01014467,Bath and North East Somerset 006C,,E05012489,Walcot,,E06000022,Bath and North East Somerset,,2437
E01014465,Bath and North East Somerset 006A,,E05012489,Walcot,,E06000022,Bath and North East Somerset,,2438
E01014466,Bath and North East Somerset 006B,,E05012489,Walcot,,E06000022,Bath and North East Somerset,,2439
E01014472,Bath and North East Somerset 026D,,E05012490,Westfield,,E06000022,Bath and North East Somerset,,2440
E01014470,Bath and North East Somerset 026B,,E05012490,Westfield,,E06000022,Bath and North East Somerset,,2441
E01014469,Bath and North East Somerset 026A,,E05012490,Westfield,,E06000022,Bath and North East Somerset,,2442
E01014471,Bath and North East Somerset 026C,,E05012490,Westfield,,E06000022,Bath and North East Somerset,,2443
E01035208,Bath and North East Somerset 013F,,E05012491,Westmoreland,,E06000022,Bath and North East Somerset,,2444
E01014473,Bath and North East Somerset 013A,,E05012491,Westmoreland,,E06000022,Bath and North East Somerset,,2445
E01014435,Bath and North East Somerset 014A,,E05012491,Westmoreland,,E06000022,Bath and North East Somerset,,2446
E01035207,Bath and North East Somerset 013E,,E05012491,Westmoreland,,E06000022,Bath and North East Somerset,,2447
E01014478,Bath and North East Somerset 005B,,E05012492,Weston,,E06000022,Bath and North East Somerset,,2448
E01014480,Bath and North East Somerset 005D,,E05012492,Weston,,E06000022,Bath and North East Somerset,,2449
E01014479,Bath and North East Somerset 005C,,E05012492,Weston,,E06000022,Bath and North East Somerset,,2450
E01014477,Bath and North East Somerset 005A,,E05012492,Weston,,E06000022,Bath and North East Somerset,,2451
E01014384,Bath and North East Somerset 021C,,E05012464,Chew Valley,,E06000022,Bath and North East Somerset,,2452
E01014528,Bristol 035A,,E05010890,Brislington East,,E06000023,"Bristol, City of",,2454
E01014609,Bristol 047C,,E05010902,Hengrove and Whitchurch Park,,E06000023,"Bristol, City of",,2455
E01014383,Bath and North East Somerset 021B,,E05012464,Chew Valley,,E06000022,Bath and North East Somerset,,2457
E01014568,Bristol 057A,,E05010896,Easton,,E06000023,"Bristol, City of",,2458
E01014577,Bristol 012B,,E05010897,Eastville,,E06000023,"Bristol, City of",,2459
E01014574,Bristol 057D,,E05010897,Eastville,,E06000023,"Bristol, City of",,2461
E01014386,Bath and North East Somerset 020B,,E05012465,Clutton & Farmborough,,E06000022,Bath and North East Somerset,,2463
E01014571,Bristol 012A,,E05010897,Eastville,,E06000023,"Bristol, City of",,2465
E01014524,Bristol 038B,,E05010890,Brislington East,,E06000023,"Bristol, City of",,2466
E01014613,Bristol 047E,,E05010902,Hengrove and Whitchurch Park,,E06000023,"Bristol, City of",,2467
E01014626,Bristol 021C,,E05010897,Eastville,,E06000023,"Bristol, City of",,2468
E01014391,Bath and North East Somerset 016A,,E05012465,Clutton & Farmborough,,E06000022,Bath and North East Somerset,,2469
E01014725,Bristol 052E,,E05010902,Hengrove and Whitchurch Park,,E06000023,"Bristol, City of",,2471
E01014525,Bristol 038C,,E05010890,Brislington East,,E06000023,"Bristol, City of",,2472
E01014575,Bristol 019C,,E05010897,Eastville,,E06000023,"Bristol, City of",,2474
E01014389,Bath and North East Somerset 018C,,E05012466,Combe Down,,E06000022,Bath and North East Somerset,,2475
E01032515,Bristol 053F,,E05010902,Hengrove and Whitchurch Park,,E06000023,"Bristol, City of",,2477
E01014527,Bristol 038E,,E05010890,Brislington East,,E06000023,"Bristol, City of",,2478
E01014576,Bristol 019D,,E05010897,Eastville,,E06000023,"Bristol, City of",,2480
E01014390,Bath and North East Somerset 018D,,E05012466,Combe Down,,E06000022,Bath and North East Somerset,,2481
E01014610,Bristol 047D,,E05010902,Hengrove and Whitchurch Park,,E06000023,"Bristol, City of",,2483
E01014529,Bristol 035B,,E05010890,Brislington East,,E06000023,"Bristol, City of",,2484
E01014572,Bristol 019A,,E05010897,Eastville,,E06000023,"Bristol, City of",,2486
E01014387,Bath and North East Somerset 018A,,E05012466,Combe Down,,E06000022,Bath and North East Somerset,,2487
E01014611,Bristol 052A,,E05010902,Hengrove and Whitchurch Park,,E06000023,"Bristol, City of",,2489
E01014526,Bristol 038D,,E05010890,Brislington East,,E06000023,"Bristol, City of",,2490
E01014573,Bristol 019B,,E05010897,Eastville,,E06000023,"Bristol, City of",,2492
E01014416,Bath and North East Somerset 017B,,E05012466,Combe Down,,E06000022,Bath and North East Somerset,,2493
E01014629,Bristol 018D,,E05010903,Hillfields,,E06000023,"Bristol, City of",,2495
E01014533,Bristol 043A,,E05010891,Brislington West,,E06000023,"Bristol, City of",,2496
E01014580,Bristol 045B,,E05010898,Filwood,,E06000023,"Bristol, City of",,2497
E01014388,Bath and North East Somerset 018B,,E05012466,Combe Down,,E06000022,Bath and North East Somerset,,2499
E01014532,Bristol 035E,,E05010891,Brislington West,,E06000023,"Bristol, City of",,2500
E01014623,Bristol 021B,,E05010903,Hillfields,,E06000023,"Bristol, City of",,2501
E01014394,Bath and North East Somerset 023B,,E05012467,High Littleton,,E06000022,Bath and North East Somerset,,2503
E01014531,Bristol 035D,,E05010891,Brislington West,,E06000023,"Bristol, City of",,2504
E01014579,Bristol 045A,,E05010898,Filwood,,E06000023,"Bristol, City of",,2505
E01014624,Bristol 018A,,E05010903,Hillfields,,E06000023,"Bristol, City of",,2506
E01014393,Bath and North East Somerset 023A,,E05012467,High Littleton,,E06000022,Bath and North East Somerset,,2509
E01014535,Bristol 043C,,E05010891,Brislington West,,E06000023,"Bristol, City of",,2510
E01014584,Bristol 045E,,E05010898,Filwood,,E06000023,"Bristol, City of",,2511
E01032519,Bristol 018F,,E05010903,Hillfields,,E06000023,"Bristol, City of",,2512
E01014396,Bath and North East Somerset 003B,,E05012468,Keynsham East,,E06000022,Bath and North East Somerset,,2515
E01014536,Bristol 043D,,E05010891,Brislington West,,E06000023,"Bristol, City of",,2516
E01014582,Bristol 045D,,E05010898,Filwood,,E06000023,"Bristol, City of",,2517
E01014627,Bristol 021D,,E05010903,Hillfields,,E06000023,"Bristol, City of",,2518
E01014398,Bath and North East Somerset 003D,,E05012468,Keynsham East,,E06000022,Bath and North East Somerset,,2521
E01014537,Bristol 035F,,E05010891,Brislington West,,E06000023,"Bristol, City of",,2522
E01014729,Bristol 040A,,E05010898,Filwood,,E06000023,"Bristol, City of",,2523
E01014622,Bristol 021A,,E05010903,Hillfields,,E06000023,"Bristol, City of",,2524
E01014397,Bath and North East Somerset 003C,,E05012468,Keynsham East,,E06000022,Bath and North East Somerset,,2527
E01014534,Bristol 043B,,E05010891,Brislington West,,E06000023,"Bristol, City of",,2528
E01014578,Bristol 044A,,E05010898,Filwood,,E06000023,"Bristol, City of",,2529
E01032518,Bristol 018E,,E05010903,Hillfields,,E06000023,"Bristol, City of",,2530
E01014395,Bath and North East Somerset 003A,,E05012468,Keynsham East,,E06000022,Bath and North East Somerset,,2533
E01033909,Bristol 061C,,E05010892,Central,,E06000023,"Bristol, City of",,2534
E01014583,Bristol 044B,,E05010898,Filwood,,E06000023,"Bristol, City of",,2535
E01014634,Bristol 005B,,E05010904,Horfield,,E06000023,"Bristol, City of",,2536
E01014400,Bath and North East Somerset 001B,,E05012469,Keynsham North,,E06000022,Bath and North East Somerset,,2538
E01014581,Bristol 045C,,E05010898,Filwood,,E06000023,"Bristol, City of",,2540
E01014632,Bristol 004B,,E05010904,Horfield,,E06000023,"Bristol, City of",,2541
E01033905,Bristol 060C,,E05010892,Central,,E06000023,"Bristol, City of",,2542
E01014633,Bristol 004C,,E05010904,Horfield,,E06000023,"Bristol, City of",,2544
E01014592,Bristol 013E,,E05010899,Frome Vale,,E06000023,"Bristol, City of",,2545
E01033903,Bristol 054G,,E05010892,Central,,E06000023,"Bristol, City of",,2546
E01014401,Bath and North East Somerset 001C,,E05012469,Keynsham North,,E06000022,Bath and North East Somerset,,2548
E01014631,Bristol 004A,,E05010904,Horfield,,E06000023,"Bristol, City of",,2550
E01014588,Bristol 013A,,E05010899,Frome Vale,,E06000023,"Bristol, City of",,2551
E01033902,Bristol 054F,,E05010892,Central,,E06000023,"Bristol, City of",,2552
E01035206,Bath and North East Somerset 002E,,E05012470,Keynsham South,,E06000022,Bath and North East Somerset,,2554
E01014635,Bristol 010B,,E05010904,Horfield,,E06000023,"Bristol, City of",,2556
E01014590,Bristol 013C,,E05010899,Frome Vale,,E06000023,"Bristol, City of",,2557
E01033342,Bristol 025E,,E05010892,Central,,E06000023,"Bristol, City of",,2558
E01014404,Bath and North East Somerset 002C,,E05012470,Keynsham South,,E06000022,Bath and North East Somerset,,2560
E01014636,Bristol 004D,,E05010904,Horfield,,E06000023,"Bristol, City of",,2562
E01014591,Bristol 013D,,E05010899,Frome Vale,,E06000023,"Bristol, City of",,2563
E01033910,Bristol 061E,,E05010892,Central,,E06000023,"Bristol, City of",,2564
E01035205,Bath and North East Somerset 002D,,E05012470,Keynsham South,,E06000022,Bath and North East Somerset,,2566
E01014483,Bath and North East Somerset 012E,,E05012493,Widcombe & Lyncombe,,E06000022,Bath and North East Somerset,,2568
E01014630,Bristol 005A,,E05010904,Horfield,,E06000023,"Bristol, City of",,2569
E01014589,Bristol 013B,,E05010899,Frome Vale,,E06000023,"Bristol, City of",,2570
E01033367,Bristol 025F,,E05010892,Central,,E06000023,"Bristol, City of",,2571
E01014403,Bath and North East Somerset 002B,,E05012470,Keynsham South,,E06000022,Bath and North East Somerset,,2573
E01014415,Bath and North East Somerset 017A,,E05012493,Widcombe & Lyncombe,,E06000022,Bath and North East Somerset,,2575
E01014550,Bristol 034C,,E05010905,Hotwells and Harbourside,,E06000023,"Bristol, City of",,2576
E01014587,Bristol 012D,,E05010899,Frome Vale,,E06000023,"Bristol, City of",,2577
E01033907,Bristol 061A,,E05010892,Central,,E06000023,"Bristol, City of",,2578
E01014481,Bath and North East Somerset 012C,,E05012493,Widcombe & Lyncombe,,E06000022,Bath and North East Somerset,,2579
E01014399,Bath and North East Somerset 001A,,E05012470,Keynsham South,,E06000022,Bath and North East Somerset,,2580
E01014482,Bath and North East Somerset 012D,,E05012493,Widcombe & Lyncombe,,E06000022,Bath and North East Somerset,,2581
E01033908,Bristol 061B,,E05010892,Central,,E06000023,"Bristol, City of",,2584
E01033344,Bristol 060D,,E05010905,Hotwells and Harbourside,,E06000023,"Bristol, City of",,2585
E01014586,Bristol 012C,,E05010899,Frome Vale,,E06000023,"Bristol, City of",,2586
E01033906,Bristol 060E,,E05010905,Hotwells and Harbourside,,E06000023,"Bristol, City of",,2588
E01014370,Bath and North East Somerset 007A,,E05012471,Kingsmead,,E06000022,Bath and North East Somerset,,2590
E01014538,Bristol 060A,,E05010892,Central,,E06000023,"Bristol, City of",,2591
E01014596,Bristol 051C,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2592
E01014488,Bristol 058B,,E05010885,Ashley,,E06000023,"Bristol, City of",,2593
E01033350,Bristol 061D,,E05010905,Hotwells and Harbourside,,E06000023,"Bristol, City of",,2595
E01014407,Bath and North East Somerset 009C,,E05012471,Kingsmead,,E06000022,Bath and North East Somerset,,2597
E01033370,Bristol 054E,,E05010892,Central,,E06000023,"Bristol, City of",,2598
E01014516,Bristol 050B,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2599
E01014671,Bristol 020F,,E05010885,Ashley,,E06000023,"Bristol, City of",,2600
E01014650,Bristol 044E,,E05010906,Knowle,,E06000023,"Bristol, City of",,2602
E01033080,Bath and North East Somerset 009E,,E05012471,Kingsmead,,E06000022,Bath and North East Somerset,,2604
E01033904,Bristol 060B,,E05010892,Central,,E06000023,"Bristol, City of",,2605
E01014726,Bristol 053B,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2606
E01014485,Bristol 058A,,E05010885,Ashley,,E06000023,"Bristol, City of",,2607
E01014648,Bristol 042C,,E05010906,Knowle,,E06000023,"Bristol, City of",,2609
E01014405,Bath and North East Somerset 009A,,E05012471,Kingsmead,,E06000022,Bath and North East Somerset,,2611
E01014555,Bristol 034D,,E05010893,Clifton,,E06000023,"Bristol, City of",,2612
E01014515,Bristol 050A,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2613
E01033366,Bristol 059B,,E05010885,Ashley,,E06000023,"Bristol, City of",,2614
E01014647,Bristol 044D,,E05010906,Knowle,,E06000023,"Bristol, City of",,2616
E01014377,Bath and North East Somerset 010E,,E05012461,Bathavon North,,E06000022,Bath and North East Somerset,,2628
E01014376,Bath and North East Somerset 010D,,E05012461,Bathavon North,,E06000022,Bath and North East Somerset,,2629
E01014375,Bath and North East Somerset 010C,,E05012461,Bathavon North,,E06000022,Bath and North East Somerset,,2630
E01014373,Bath and North East Somerset 010A,,E05012461,Bathavon North,,E06000022,Bath and North East Somerset,,2631
E01014374,Bath and North East Somerset 010B,,E05012461,Bathavon North,,E06000022,Bath and North East Somerset,,2632
E01033079,Bath and North East Somerset 010H,,E05012462,Bathavon South,,E06000022,Bath and North East Somerset,,2633
E01035209,Bath and North East Somerset 022F,,E05012462,Bathavon South,,E06000022,Bath and North East Somerset,,2634
E01033078,Bath and North East Somerset 010G,,E05012462,Bathavon South,,E06000022,Bath and North East Somerset,,2635
E01014381,Bath and North East Somerset 012B,,E05012463,Bathwick,,E06000022,Bath and North East Somerset,,2636
E01014380,Bath and North East Somerset 012A,,E05012463,Bathwick,,E06000022,Bath and North East Somerset,,2637
E01014468,Bath and North East Somerset 006D,,E05012463,Bathwick,,E06000022,Bath and North East Somerset,,2638
E01014371,Bath and North East Somerset 007B,,E05012463,Bathwick,,E06000022,Bath and North East Somerset,,2639
E01014385,Bath and North East Somerset 020A,,E05012464,Chew Valley,,E06000022,Bath and North East Somerset,,2640
E01014382,Bath and North East Somerset 021A,,E05012464,Chew Valley,,E06000022,Bath and North East Somerset,,2641
E01014409,Bath and North East Somerset 004A,,E05012472,Lambridge,,E06000022,Bath and North East Somerset,,2642
E01014545,Bristol 030B,,E05010893,Clifton,,E06000023,"Bristol, City of",,2643
E01014594,Bristol 048A,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2644
E01014645,Bristol 042A,,E05010906,Knowle,,E06000023,"Bristol, City of",,2645
E01014411,Bath and North East Somerset 004C,,E05012472,Lambridge,,E06000022,Bath and North East Somerset,,2646
E01014487,Bristol 020A,,E05010885,Ashley,,E06000023,"Bristol, City of",,2647
E01014549,Bristol 034B,,E05010893,Clifton,,E06000023,"Bristol, City of",,2648
E01014727,Bristol 053C,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2650
E01014646,Bristol 042B,,E05010906,Knowle,,E06000023,"Bristol, City of",,2651
E01014410,Bath and North East Somerset 004B,,E05012472,Lambridge,,E06000022,Bath and North East Somerset,,2652
E01014486,Bristol 058C,,E05010885,Ashley,,E06000023,"Bristol, City of",,2653
E01033348,Bristol 059C,,E05010885,Ashley,,E06000023,"Bristol, City of",,2654
E01014489,Bristol 059A,,E05010885,Ashley,,E06000023,"Bristol, City of",,2655
E01033347,Bristol 059D,,E05010885,Ashley,,E06000023,"Bristol, City of",,2656
E01014491,Bristol 020B,,E05010885,Ashley,,E06000023,"Bristol, City of",,2657
E01014496,Bristol 008E,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2658
E01014640,Bristol 003E,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2659
E01014498,Bristol 003B,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2660
E01014497,Bristol 003A,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2661
E01014494,Bristol 008C,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2662
E01014642,Bristol 007B,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2663
E01014499,Bristol 008F,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2664
E01014495,Bristol 008D,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2665
E01014641,Bristol 007A,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2666
E01014493,Bristol 008B,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2667
E01014638,Bristol 003C,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2668
E01014492,Bristol 008A,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2669
E01014639,Bristol 003D,,E05010886,Avonmouth and Lawrence Weston,,E06000023,"Bristol, City of",,2670
E01014504,Bristol 041B,,E05010887,Bedminster,,E06000023,"Bristol, City of",,2671
E01014506,Bristol 041D,,E05010887,Bedminster,,E06000023,"Bristol, City of",,2672
E01033362,Bristol 039G,,E05010887,Bedminster,,E06000023,"Bristol, City of",,2673
E01033364,Bristol 039H,,E05010887,Bedminster,,E06000023,"Bristol, City of",,2674
E01014505,Bristol 041C,,E05010887,Bedminster,,E06000023,"Bristol, City of",,2675
E01014501,Bristol 041A,,E05010887,Bedminster,,E06000023,"Bristol, City of",,2676
E01014512,Bristol 016E,,E05010888,Bishopston and Ashley Down,,E06000023,"Bristol, City of",,2677
E01014509,Bristol 016C,,E05010888,Bishopston and Ashley Down,,E06000023,"Bristol, City of",,2678
E01014508,Bristol 016B,,E05010888,Bishopston and Ashley Down,,E06000023,"Bristol, City of",,2679
E01014514,Bristol 016G,,E05010888,Bishopston and Ashley Down,,E06000023,"Bristol, City of",,2680
E01014510,Bristol 010A,,E05010888,Bishopston and Ashley Down,,E06000023,"Bristol, City of",,2681
E01014637,Bristol 010C,,E05010888,Bishopston and Ashley Down,,E06000023,"Bristol, City of",,2682
E01014507,Bristol 016A,,E05010888,Bishopston and Ashley Down,,E06000023,"Bristol, City of",,2683
E01014599,Bristol 048C,,E05010889,Bishopsworth,,E06000023,"Bristol, City of",,2684
E01014598,Bristol 048B,,E05010889,Bishopsworth,,E06000023,"Bristol, City of",,2685
E01014520,Bristol 046C,,E05010889,Bishopsworth,,E06000023,"Bristol, City of",,2686
E01014500,Bristol 039A,,E05010889,Bishopsworth,,E06000023,"Bristol, City of",,2687
E01014522,Bristol 050D,,E05010889,Bishopsworth,,E06000023,"Bristol, City of",,2688
E01014521,Bristol 046D,,E05010889,Bishopsworth,,E06000023,"Bristol, City of",,2689
E01014518,Bristol 046A,,E05010889,Bishopsworth,,E06000023,"Bristol, City of",,2690
E01014519,Bristol 046B,,E05010889,Bishopsworth,,E06000023,"Bristol, City of",,2691
E01014530,Bristol 035C,,E05010890,Brislington East,,E06000023,"Bristol, City of",,2692
E01014523,Bristol 038A,,E05010890,Brislington East,,E06000023,"Bristol, City of",,2693
E01014517,Bristol 050C,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2694
E01014600,Bristol 048D,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2696
E01014372,Bath and North East Somerset 007C,,E05012473,Lansdown,,E06000022,Bath and North East Somerset,,2698
E01032514,Bristol 053E,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2699
E01014547,Bristol 030D,,E05010893,Clifton,,E06000023,"Bristol, City of",,2700
E01014649,Bristol 042D,,E05010906,Knowle,,E06000023,"Bristol, City of",,2701
E01014414,Bath and North East Somerset 007F,,E05012473,Lansdown,,E06000022,Bath and North East Somerset,,2702
E01014651,Bristol 042E,,E05010906,Knowle,,E06000023,"Bristol, City of",,2703
E01014593,Bristol 051A,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2704
E01014412,Bath and North East Somerset 007D,,E05012473,Lansdown,,E06000022,Bath and North East Somerset,,2705
E01014585,Bristol 044C,,E05010906,Knowle,,E06000023,"Bristol, City of",,2706
E01014544,Bristol 030A,,E05010893,Clifton,,E06000023,"Bristol, City of",,2707
E01014597,Bristol 051D,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2709
E01014413,Bath and North East Somerset 007E,,E05012473,Lansdown,,E06000022,Bath and North East Somerset,,2710
E01033353,Bristol 054B,,E05010907,Lawrence Hill,,E06000023,"Bristol, City of",,2711
E01014548,Bristol 034A,,E05010893,Clifton,,E06000023,"Bristol, City of",,2712
E01014595,Bristol 051B,,E05010900,Hartcliffe and Withywood,,E06000023,"Bristol, City of",,2714
E01014418,Bath and North East Somerset 021D,,E05012474,Mendip,,E06000022,Bath and North East Somerset,,2715
E01033358,Bristol 054D,,E05010907,Lawrence Hill,,E06000023,"Bristol, City of",,2716
E01014546,Bristol 030C,,E05010893,Clifton,,E06000023,"Bristol, City of",,2717
E01032517,Bristol 001H,,E05010901,Henbury and Brentry,,E06000023,"Bristol, City of",,2719
E01014419,Bath and North East Somerset 020C,,E05012474,Mendip,,E06000022,Bath and North East Somerset,,2720
E01014653,Bristol 055B,,E05010907,Lawrence Hill,,E06000023,"Bristol, City of",,2721
E01014554,Bristol 026D,,E05010893,Clifton,,E06000023,"Bristol, City of",,2722
E01014603,Bristol 001C,,E05010901,Henbury and Brentry,,E06000023,"Bristol, City of",,2724
E01014421,Bath and North East Somerset 025B,,E05012475,Midsomer Norton North,,E06000022,Bath and North East Somerset,,2725
E01014655,Bristol 055C,,E05010907,Lawrence Hill,,E06000023,"Bristol, City of",,2726
E01014559,Bristol 022C,,E05010894,Clifton Down,,E06000023,"Bristol, City of",,2727
E01032516,Bristol 001G,,E05010901,Henbury and Brentry,,E06000023,"Bristol, City of",,2729
E01014420,Bath and North East Somerset 025A,,E05012475,Midsomer Norton North,,E06000022,Bath and North East Somerset,,2730
E01033356,Bristol 056C,,E05010907,Lawrence Hill,,E06000023,"Bristol, City of",,2731
E01014560,Bristol 022D,,E05010894,Clifton Down,,E06000023,"Bristol, City of",,2732
E01014605,Bristol 001E,,E05010901,Henbury and Brentry,,E06000023,"Bristol, City of",,2734
E01014422,Bath and North East Somerset 025C,,E05012475,Midsomer Norton North,,E06000022,Bath and North East Somerset,,2735
E01014654,Bristol 056A,,E05010907,Lawrence Hill,,E06000023,"Bristol, City of",,2736
E01014551,Bristol 026A,,E05010894,Clifton Down,,E06000023,"Bristol, City of",,2737
E01014601,Bristol 001A,,E05010901,Henbury and Brentry,,E06000023,"Bristol, City of",,2738
E01014425,Bath and North East Somerset 027B,,E05012476,Midsomer Norton Redfield,,E06000022,Bath and North East Somerset,,2740
E01014552,Bristol 026B,,E05010894,Clifton Down,,E06000023,"Bristol, City of",,2741
E01033352,Bristol 054A,,E05010907,Lawrence Hill,,E06000023,"Bristol, City of",,2742
E01014602,Bristol 001B,,E05010901,Henbury and Brentry,,E06000023,"Bristol, City of",,2743
E01014424,Bath and North East Somerset 027A,,E05012476,Midsomer Norton Redfield,,E06000022,Bath and North East Somerset,,2744
E01014658,Bristol 056B,,E05010907,Lawrence Hill,,E06000023,"Bristol, City of",,2745
E01014553,Bristol 026C,,E05010894,Clifton Down,,E06000023,"Bristol, City of",,2746
E01014693,Bristol 002F,,E05010901,Henbury and Brentry,,E06000023,"Bristol, City of",,2748
E01014423,Bath and North East Somerset 025D,,E05012476,Midsomer Norton Redfield,,E06000022,Bath and North East Somerset,,2749
E01033369,Bristol 056D,,E05010907,Lawrence Hill,,E06000023,"Bristol, City of",,2750
E01014556,Bristol 026E,,E05010894,Clifton Down,,E06000023,"Bristol, City of",,2751
E01014723,Bristol 052D,,E05010902,Hengrove and Whitchurch Park,,E06000023,"Bristol, City of",,2753
E01014426,Bath and North East Somerset 027C,,E05012476,Midsomer Norton Redfield,,E06000022,Bath and North East Somerset,,2754
E01014661,Bristol 005D,,E05010908,Lockleaze,,E06000023,"Bristol, City of",,2755
E01014558,Bristol 022B,,E05010894,Clifton Down,,E06000023,"Bristol, City of",,2756
E01014608,Bristol 047B,,E05010902,Hengrove and Whitchurch Park,,E06000023,"Bristol, City of",,2758
E01014437,Bath and North East Somerset 014C,,E05012477,Moorlands,,E06000022,Bath and North East Somerset,,2759
