LSOA21CD,LSOA21NM,LSOA21NMW,WD25CD,WD25NM,WD25NMW,LAD25CD,LAD25NM,LAD25NMW,ObjectId
E01020385,Dorset 025D,,E05012692,Corfe Mullen,,E06000059,Dorset,,7726
E01020551,Dorset 038A,,E05012704,Littlemoor & Preston,,E06000059,Dorset,,7728
E01020497,Dorset 008A,,E05012716,Sherborne Rural,,E06000059,Dorset,,7732
E01020383,Dorset 025B,,E05012692,Corfe Mullen,,E06000059,Dorset,,7733
E01020511,Dorset 023A,,E05012705,Lyme & Charmouth,,E06000059,Dorset,,7735
E01020541,Dorset 008C,,E05012716,Sherborne Rural,,E06000059,Dorset,,7739
E01020389,Dorset 007C,,E05012693,Cranborne & Alderholt,,E06000059,Dorset,,7740
E01034380,Dorset 004G,,E05012717,Sherborne West,,E06000059,Dorset,,7742
E01020532,Dorset 023B,,E05012705,Lyme & Charmouth,,E06000059,Dorset,,7743
E01020373,Dorset 007A,,E05012693,Cranborne & Alderholt,,E06000059,Dorset,,7747
E01034379,Dorset 004F,,E05012717,Sherborne West,,E06000059,Dorset,,7750
E01020374,Dorset 007B,,E05012693,Cranborne & Alderholt,,E06000059,Dorset,,7752
E01020533,Dorset 023C,,E05012705,Lyme & Charmouth,,E06000059,Dorset,,7756
E01020547,Dorset 004E,,E05012717,Sherborne West,,E06000059,Dorset,,7757
E01034378,Dorset 009D,,E05012694,Cranborne Chase,,E06000059,Dorset,,7759
E01020469,Dorset 027B,,E05012706,Lytchett Matravers & Upton,,E06000059,Dorset,,7763
E01020546,Dorset 004D,,E05012717,Sherborne West,,E06000059,Dorset,,7764
E01020397,Dorset 007D,,E05012694,Cranborne Chase,,E06000059,Dorset,,7766
E01020365,"Bournemouth, Christchurch and Poole 002D",,E05012659,Commons,,E06000058,"Bournemouth, Christchurch and Poole",,7767
E01020472,Dorset 028B,,E05012706,Lytchett Matravers & Upton,,E06000059,Dorset,,7770
E01020468,Dorset 039C,,E05012718,South East Purbeck,,E06000059,Dorset,,7771
E01020396,Dorset 013A,,E05012694,Cranborne Chase,,E06000059,Dorset,,7773
E01020471,Dorset 028A,,E05012706,Lytchett Matravers & Upton,,E06000059,Dorset,,7776
E01020475,Dorset 028E,,E05012706,Lytchett Matravers & Upton,,E06000059,Dorset,,7778
E01020537,Dorset 036B,,E05012695,Crossways,,E06000059,Dorset,,7781
E01020538,Dorset 036C,,E05012695,Crossways,,E06000059,Dorset,,7783
E01020473,Dorset 028C,,E05012706,Lytchett Matravers & Upton,,E06000059,Dorset,,7787
E01020466,Dorset 039A,,E05012718,South East Purbeck,,E06000059,Dorset,,7788
E01015419,"Bournemouth, Christchurch and Poole 021C",,E05012660,Creekmoor,,E06000058,"Bournemouth, Christchurch and Poole",,7790
E01020470,Dorset 027C,,E05012706,Lytchett Matravers & Upton,,E06000059,Dorset,,7791
E01020433,Dorset 005A,,E05012719,Stalbridge & Marnhull,,E06000059,Dorset,,7792
E01020518,Dorset 034A,,E05012696,Dorchester East,,E06000059,Dorset,,7796
E01015422,"Bournemouth, Christchurch and Poole 021F",,E05012660,Creekmoor,,E06000058,"Bournemouth, Christchurch and Poole",,7797
E01020474,Dorset 028D,,E05012706,Lytchett Matravers & Upton,,E06000059,Dorset,,7798
E01020434,Dorset 005B,,E05012719,Stalbridge & Marnhull,,E06000059,Dorset,,7799
E01020525,Dorset 034F,,E05012696,Dorchester East,,E06000059,Dorset,,7803
E01020556,Dorset 044D,,E05012708,Melcombe Regis,,E06000059,Dorset,,7805
E01020449,Dorset 005C,,E05012719,Stalbridge & Marnhull,,E06000059,Dorset,,7806
E01020555,Dorset 044C,,E05012708,Melcombe Regis,,E06000059,Dorset,,7810
E01020520,Dorset 034C,,E05012696,Dorchester East,,E06000059,Dorset,,7812
E01020409,Dorset 013C,,E05012720,Stour & Allen Vale,,E06000059,Dorset,,7813
E01020554,Dorset 044B,,E05012708,Melcombe Regis,,E06000059,Dorset,,7816
E01015418,"Bournemouth, Christchurch and Poole 021B",,E05012660,Creekmoor,,E06000058,"Bournemouth, Christchurch and Poole",,7818
E01020523,Dorset 034D,,E05012696,Dorchester East,,E06000059,Dorset,,7819
E01020398,Dorset 013B,,E05012720,Stour & Allen Vale,,E06000059,Dorset,,7820
E01020565,Dorset 048C,,E05012709,Portland,,E06000059,Dorset,,7824
E01032645,Dorset 031C,,E05012696,Dorchester East,,E06000059,Dorset,,7826
E01020410,Dorset 013D,,E05012720,Stour & Allen Vale,,E06000059,Dorset,,7827
E01020462,Dorset 002C,,E05012682,Beacon,,E06000059,Dorset,,7830
E01020566,Dorset 048D,,E05012709,Portland,,E06000059,Dorset,,7831
E01020519,Dorset 034B,,E05012696,Dorchester East,,E06000059,Dorset,,7833
E01034376,Dorset 005E,,E05012721,Sturminster Newton,,E06000059,Dorset,,7834
E01020445,Dorset 006B,,E05012682,Beacon,,E06000059,Dorset,,7837
E01020563,Dorset 047A,,E05012709,Portland,,E06000059,Dorset,,7838
E01034382,Dorset 032D,,E05012697,Dorchester Poundbury,,E06000059,Dorset,,7840
E01034377,Dorset 005F,,E05012721,Sturminster Newton,,E06000059,Dorset,,7841
E01020460,Dorset 006D,,E05012682,Beacon,,E06000059,Dorset,,7844
E01020528,Dorset 032C,,E05012697,Dorchester Poundbury,,E06000059,Dorset,,7846
E01020494,Dorset 019A,,E05012683,Beaminster,,E06000059,Dorset,,7847
E01020458,Dorset 005D,,E05012721,Sturminster Newton,,E06000059,Dorset,,7848
E01020496,Dorset 019C,,E05012683,Beaminster,,E06000059,Dorset,,7850
E01020569,Dorset 047B,,E05012709,Portland,,E06000059,Dorset,,7851
E01034381,Dorset 031D,,E05012697,Dorchester Poundbury,,E06000059,Dorset,,7853
E01020478,Dorset 042A,,E05012722,Swanage,,E06000059,Dorset,,7854
